Año,Valor_Agro,Valor_Consumo,Valor_Exportaciones,Victimas_AS
1925,3585.3694205277825,12550.044748718305,1968.131649417599,
1926,3991.7855194385406,13244.411978667882,2469.2575724725934,
1927,3936.1120812315876,13818.765119490374,2703.6551816434776,
1928,4256.234350921568,13853.05485924097,3160.326385717787,
1929,4311.9077891285215,14898.891921634162,3273.4838522140763,
1930,4526.250526225291,13681.606160487987,3560.418856543952,
1931,4303.5567733974785,14127.372777245742,3152.2437095394807,
1932,4559.6545891494625,13758.758074926829,3204.781104698472,
1933,4812.968732991099,16613.378909163985,3237.111809411698,
1934,4915.964593673963,19245.116435022264,3253.27716176831,
1935,4988.340063343002,18602.18381469858,3665.493646861935,
1936,5266.707254377768,19313.695914523458,3944.3459750135044,
1937,5244.437879094986,19750.890096343563,4097.916822401325,
1938,5545.074445412533,20959.603422552085,4312.107741126443,
1939,5634.151946543659,23882.803736290436,4013.048722529108,
1940,5762.200854419651,21688.26039225226,4586.91873118886,
1941,5840.143667909385,24680.040185491802,3487.674770939195,
1942,6023.86601399233,22476.92440651598,3798.8578038039896,
1943,5895.817106116338,20650.995764796717,4696.034859595996,
1944,6199.237344344233,24628.60557586591,4894.0604259645015,2.0
1945,6421.931097172045,23908.52104110338,4902.143102142808,3.0
1946,6861.7512590069755,29763.49410351773,5282.028882523206,12.0
1947,7115.065402848612,28854.81600012692,5043.5899352631695,205.0
1948,7131.767434310698,29309.155051822323,5160.788739848612,138.0
1949,7593.856971428409,39038.86870605407,5286.07022061236,134.0
1950,7814.537342498188,40710.391681685556,5410.467103076134,73.0
1951,7911.774036061767,40915.65105847103,6044.901651619375,76.0
1952,8451.289930595432,43584.02295668207,6111.552053339052,58.0
1953,8468.03546827136,46156.77942577902,7522.415484523977,211.0
1954,8693.748429886384,50308.85174719292,6758.157544805017,99.0
1955,8903.560166649477,52272.84434521212,6868.275599820135,63.0
1956,9186.264243884254,53294.3419991067,7079.624989621081,69.0
1957,9749.139459881819,54471.63004329527,7099.523515351883,87.0
1958,10055.906452600491,55393.82055266594,7514.881091286101,631.0
1959,10560.664802546307,58233.85721743318,8713.042805678666,375.0
1960,10571.50015045426,60947.26804364391,8734.10046883068,546.0
1961,10986.761341056463,64897.034360600184,8151.6339146717655,384.0
1962,11345.735010058908,70258.51265026802,8811.95586562207,470.0
1963,11408.495596642639,73793.69932670257,8599.25414882971,271.0
1964,12051.158374507857,80460.93735682039,9100.001514793194,144.0
1965,12044.966747131884,79515.48904036792,9694.639011874831,108.0
1966,12449.674027434134,86839.85241343199,9527.723223220337,46.0
1967,13087.552365963373,88012.3412275878,10359.983891650389,5.0
1968,13978.020957671519,93314.75207069867,11224.120839163761,80.0
1969,14422.973815917594,100706.67383576227,11752.107934525722,76.0
1970,15043.68446035891,108493.23997813463,11857.20306071559,88.0
1971,15166.516849877715,116781.83055907318,12398.883080628804,44.0
1972,16351.965288346935,123566.03977560988,13872.469097710828,44.0
1973,16738.616929568077,129559.89320789435,14920.541375897641,28.0
1974,17667.198893100176,137377.4587951618,14421.87636469841,60.0
1975,18688.67767952307,141442.28371490398,16504.62702614313,64.0
1976,19259.191639646575,151307.2379413285,15978.143925476174,74.0
1977,19888.611069586488,157417.5190899973,15259.252372657449,87.0
1978,21502.620942556066,170637.6205790329,19099.951743520945,143.0
1979,22544.378661210834,177993.82322378145,20695.37068947551,226.0
1980,23043.43352680296,185848.587707985,21752.200514346605,133.0
1981,23781.3935273554,191265.13358392386,19178.25451387454,318.0
1982,23331.008099119786,194090.80044339286,18879.467626998972,325.0
1983,23986.307309241332,194966.66538034228,18711.013640777743,747.0
1984,24407.143436224786,200549.39853609947,20639.2193607351,878.0
1985,24809.05255979182,204312.28435733455,23601.330739242923,1439.0
1986,25646.475894624426,210922.57665313114,28488.041789073402,1711.0
1987,27283.854822832644,218883.62370000916,30706.791999027002,1927.0
1988,28039.38989798605,227067.38102594606,30783.80689486821,3332.0
1989,29244.731003311303,234402.81026071735,33371.14679026917,3469.0
1990,30948.547576164914,241473.4992939176,39242.30911737416,4109.0
1991,32237.32200267275,245267.78678139742,43935.32384054048,5042.0
1992,31643.63211999853,252710.94788651605,46389.497511359834,5725.0
1993,32668.00789674026,268126.26739733777,49274.851568928934,5810.0
1994,34140.62065404638,284087.9105045761,51898.12153053072,5663.0
1995,35362.65070613921,298424.8235139942,53746.12967427438,6721.0
1996,34396.931719023814,301600.9267167883,58907.380196933904,8431.0
1997,34174.74877046953,308683.04846042866,60763.7862583022,10398.0
1998,34245.32250300202,306040.7384089895,65245.404938638814,8572.0
1999,33956.46010145122,289223.81342423783,69110.4811968552,9917.0
2000,34050.809824440024,309469.18215544225,70804.08343222935,13307.0
2001,34652.7066793508,314266.7952976497,72794.2990374127,13937.0
2002,36229.676439217044,320498.74638958933,71063.67677203588,16340.0
2003,37349.20458935109,329983.8844442695,76294.17352944709,13209.0
2004,38461.20902879875,342744.54620395537,83777.56962875061,10299.0
2005,37909.000004179645,348741.0001919974,88124.9999804926,6682.0
2006,38717.000000000044,366266.0,96513.0,3991.0
2007,40239.00000000001,389387.99999999977,102516.0000000002,3424.0
2008,39914.99999999999,405167.0000000005,104604.0,2172.0
2009,39821.999999999985,412391.0,99158.0000000001,1512.0
2010,39942.999999999985,432229.000000001,101202.9999999999,1056.0
2011,40706.0,455530.0,113608.0,973.0
2012,41725.0,480705.999999999,118690.0000000001,798.0
2013,44835.0,502987.999999999,124241.0000000001,561.0
2014,46139.9999999999,524642.0,123882.0000000001,585.0
2015,48124.0,543365.9999999991,125936.0000000001,394.0
2016,49441.0,552659.0,125672.9999999999,339.0
2017,52198.0,565536.000000001,128902.0000000001,554.0
2018,53030.0,583050.0,129730.0000000001,528.0
2019,54471.0,606642.0,133731.0,411.0
2020,55539.0,580188.0000000009,103695.9999999999,582.0
2021,57968.0,661333.000000002,118871.0,394.0
2022,57442.0,734873.9999999991,133683.00000000012,712.0
2023,58388.9999999999,739468.0000000009,137844.99999999988,531.0
2024,61967.0,752222.999999999,138383.0,559.0
2025,63888.1209540664,779829.83567509,140934.0077309742,
