Fecha,Valor,Año,Sector
1925-12-31,3465.050171683613,1925,Sector Agropecuario
1926-12-31,3857.8275979769414,1926,Sector Agropecuario
1927-12-31,3804.0224710874445,1927,Sector Agropecuario
1928-12-31,4113.401950702053,1928,Sector Agropecuario
1929-12-31,4167.20707759155,1929,Sector Agropecuario
1930-12-31,4374.356816116114,1930,Sector Agropecuario
1931-12-31,4159.136308558125,1931,Sector Agropecuario
1932-12-31,4406.639892249812,1932,Sector Agropecuario
1933-12-31,4651.453219597023,1933,Sector Agropecuario
1934-12-31,4750.992704342593,1934,Sector Agropecuario
1935-12-31,4820.93936929894,1935,Sector Agropecuario
1936-12-31,5089.965003746425,1936,Sector Agropecuario
1937-12-31,5068.4429529906265,1937,Sector Agropecuario
1938-12-31,5358.990638193911,1938,Sector Agropecuario
1939-12-31,5445.078841217106,1939,Sector Agropecuario
1940-12-31,5568.830633062949,1940,Sector Agropecuario
1941-12-31,5644.157810708245,1941,Sector Agropecuario
1942-12-31,5821.714729443585,1942,Sector Agropecuario
1943-12-31,5697.962937597742,1943,Sector Agropecuario
1944-12-31,5991.200879145501,1944,Sector Agropecuario
1945-12-31,6206.42138670349,1945,Sector Agropecuario
1946-12-31,6631.481889130517,1946,Sector Agropecuario
1947-12-31,6876.295216477728,1947,Sector Agropecuario
1948-12-31,6892.4367545445775,1948,Sector Agropecuario
1949-12-31,7339.019307727403,1949,Sector Agropecuario
1950-12-31,7814.537342498188,1950,Sector Agropecuario
1951-12-31,7911.774036061767,1951,Sector Agropecuario
1952-12-31,8451.289930595432,1952,Sector Agropecuario
1953-12-31,8468.03546827136,1953,Sector Agropecuario
1954-12-31,8693.748429886384,1954,Sector Agropecuario
1955-12-31,8903.560166649477,1955,Sector Agropecuario
1956-12-31,9186.264243884254,1956,Sector Agropecuario
1957-12-31,9749.139459881819,1957,Sector Agropecuario
1958-12-31,10055.906452600491,1958,Sector Agropecuario
1959-12-31,10560.664802546307,1959,Sector Agropecuario
1960-12-31,10571.50015045426,1960,Sector Agropecuario
1961-12-31,10986.761341056463,1961,Sector Agropecuario
1962-12-31,11345.735010058908,1962,Sector Agropecuario
1963-12-31,11408.495596642639,1963,Sector Agropecuario
1964-12-31,12051.158374507857,1964,Sector Agropecuario
1965-12-31,12044.966747131884,1965,Sector Agropecuario
1966-12-31,12449.674027434134,1966,Sector Agropecuario
1967-12-31,13087.552365963373,1967,Sector Agropecuario
1968-12-31,13978.020957671519,1968,Sector Agropecuario
1969-12-31,14422.973815917594,1969,Sector Agropecuario
1970-12-31,15043.68446035891,1970,Sector Agropecuario
1971-12-31,15166.516849877715,1971,Sector Agropecuario
1972-12-31,16351.965288346935,1972,Sector Agropecuario
1973-12-31,16738.616929568077,1973,Sector Agropecuario
1974-12-31,17667.198893100176,1974,Sector Agropecuario
1975-12-31,18688.67767952307,1975,Sector Agropecuario
1976-12-31,19259.191639646575,1976,Sector Agropecuario
1977-12-31,19888.611069586488,1977,Sector Agropecuario
1978-12-31,21502.620942556066,1978,Sector Agropecuario
1979-12-31,22544.378661210834,1979,Sector Agropecuario
1980-12-31,23043.43352680296,1980,Sector Agropecuario
1981-12-31,23781.3935273554,1981,Sector Agropecuario
1982-12-31,23331.008099119786,1982,Sector Agropecuario
1983-12-31,23986.307309241332,1983,Sector Agropecuario
1984-12-31,24407.143436224786,1984,Sector Agropecuario
1985-12-31,24809.05255979182,1985,Sector Agropecuario
1986-12-31,25646.475894624426,1986,Sector Agropecuario
1987-12-31,27283.854822832644,1987,Sector Agropecuario
1988-12-31,28039.38989798605,1988,Sector Agropecuario
1989-12-31,29244.731003311303,1989,Sector Agropecuario
1990-12-31,30948.547576164914,1990,Sector Agropecuario
1991-12-31,32237.32200267275,1991,Sector Agropecuario
1992-12-31,31643.63211999853,1992,Sector Agropecuario
1993-12-31,32668.00789674026,1993,Sector Agropecuario
1994-12-31,34140.62065404638,1994,Sector Agropecuario
1995-12-31,35362.65070613921,1995,Sector Agropecuario
1996-12-31,34396.931719023814,1996,Sector Agropecuario
1997-12-31,34174.74877046953,1997,Sector Agropecuario
1998-12-31,34245.32250300202,1998,Sector Agropecuario
1999-12-31,33956.46010145122,1999,Sector Agropecuario
2000-12-31,34050.809824440024,2000,Sector Agropecuario
2001-12-31,34652.7066793508,2001,Sector Agropecuario
2002-12-31,36229.676439217044,2002,Sector Agropecuario
2003-12-31,37349.20458935109,2003,Sector Agropecuario
2004-12-31,38461.20902879875,2004,Sector Agropecuario
2005-12-31,37909.000004179645,2005,Sector Agropecuario
2006-12-31,38717.000000000044,2006,Sector Agropecuario
2007-12-31,40239.00000000001,2007,Sector Agropecuario
2008-12-31,39914.99999999999,2008,Sector Agropecuario
2009-12-31,39821.999999999985,2009,Sector Agropecuario
2010-12-31,39942.999999999985,2010,Sector Agropecuario
2011-12-31,40706.0,2011,Sector Agropecuario
2012-12-31,41725.0,2012,Sector Agropecuario
2013-12-31,44835.0,2013,Sector Agropecuario
2014-12-31,46139.9999999999,2014,Sector Agropecuario
2015-12-31,48124.0,2015,Sector Agropecuario
2016-12-31,49441.0,2016,Sector Agropecuario
