Fecha,Valor,Año,Sector
1925-12-31,12959.461697299184,1925,Consumo Hogares
1926-12-31,13676.48109448582,1926,Consumo Hogares
1927-12-31,14269.57121314637,1927,Consumo Hogares
1928-12-31,14304.979578439537,1928,Consumo Hogares
1929-12-31,15384.934719881136,1929,Consumo Hogares
1930-12-31,14127.9377519737,1930,Consumo Hogares
1931-12-31,14588.246500784875,1931,Consumo Hogares
1932-12-31,14207.606573883328,1932,Consumo Hogares
1933-12-31,17155.352984539495,1933,Consumo Hogares
1934-12-31,19872.945020790074,1934,Consumo Hogares
1935-12-31,19209.03817154319,1935,Consumo Hogares
1936-12-31,19943.76175137641,1936,Consumo Hogares
1937-12-31,20395.21840886429,1937,Consumo Hogares
1938-12-31,21643.363285448435,1938,Consumo Hogares
1939-12-31,24661.926426690934,1939,Consumo Hogares
1940-12-31,22395.791047928236,1940,Consumo Hogares
1941-12-31,25485.17091975707,1941,Consumo Hogares
1942-12-31,23210.18344967108,1942,Consumo Hogares
1943-12-31,21324.687997809928,1943,Consumo Hogares
1944-12-31,25432.058371817322,1944,Consumo Hogares
1945-12-31,24688.48270066081,1945,Consumo Hogares
1946-12-31,30734.461074469105,1946,Consumo Hogares
1947-12-31,29796.139394200174,1947,Consumo Hogares
1948-12-31,30265.30023433464,1948,Consumo Hogares
1949-12-31,40312.42388627082,1949,Consumo Hogares
1950-12-31,40710.391681685556,1950,Consumo Hogares
1951-12-31,40915.65105847103,1951,Consumo Hogares
1952-12-31,43584.02295668207,1952,Consumo Hogares
1953-12-31,46156.77942577902,1953,Consumo Hogares
1954-12-31,50308.85174719292,1954,Consumo Hogares
1955-12-31,52272.84434521212,1955,Consumo Hogares
1956-12-31,53294.3419991067,1956,Consumo Hogares
1957-12-31,54471.63004329527,1957,Consumo Hogares
1958-12-31,55393.82055266594,1958,Consumo Hogares
1959-12-31,58233.85721743318,1959,Consumo Hogares
1960-12-31,60947.26804364391,1960,Consumo Hogares
1961-12-31,64897.034360600184,1961,Consumo Hogares
1962-12-31,70258.51265026802,1962,Consumo Hogares
1963-12-31,73793.69932670257,1963,Consumo Hogares
1964-12-31,80460.93735682039,1964,Consumo Hogares
1965-12-31,79515.48904036792,1965,Consumo Hogares
1966-12-31,86839.85241343199,1966,Consumo Hogares
1967-12-31,88012.3412275878,1967,Consumo Hogares
1968-12-31,93314.75207069867,1968,Consumo Hogares
1969-12-31,100706.67383576227,1969,Consumo Hogares
1970-12-31,108493.23997813463,1970,Consumo Hogares
1971-12-31,116781.83055907318,1971,Consumo Hogares
1972-12-31,123566.03977560988,1972,Consumo Hogares
1973-12-31,129559.89320789435,1973,Consumo Hogares
1974-12-31,137377.4587951618,1974,Consumo Hogares
1975-12-31,141442.28371490398,1975,Consumo Hogares
1976-12-31,151307.2379413285,1976,Consumo Hogares
1977-12-31,157417.5190899973,1977,Consumo Hogares
1978-12-31,170637.6205790329,1978,Consumo Hogares
1979-12-31,177993.82322378145,1979,Consumo Hogares
1980-12-31,185848.587707985,1980,Consumo Hogares
1981-12-31,191265.13358392386,1981,Consumo Hogares
1982-12-31,194090.80044339286,1982,Consumo Hogares
1983-12-31,194966.66538034228,1983,Consumo Hogares
1984-12-31,200549.39853609947,1984,Consumo Hogares
1985-12-31,204312.28435733455,1985,Consumo Hogares
1986-12-31,210922.57665313114,1986,Consumo Hogares
1987-12-31,218883.62370000916,1987,Consumo Hogares
1988-12-31,227067.38102594606,1988,Consumo Hogares
1989-12-31,234402.81026071735,1989,Consumo Hogares
1990-12-31,241473.4992939176,1990,Consumo Hogares
1991-12-31,245267.78678139742,1991,Consumo Hogares
1992-12-31,252710.94788651605,1992,Consumo Hogares
1993-12-31,268126.26739733777,1993,Consumo Hogares
1994-12-31,284087.9105045761,1994,Consumo Hogares
1995-12-31,298424.8235139942,1995,Consumo Hogares
1996-12-31,301600.9267167883,1996,Consumo Hogares
1997-12-31,308683.04846042866,1997,Consumo Hogares
1998-12-31,306040.7384089895,1998,Consumo Hogares
1999-12-31,289223.81342423783,1999,Consumo Hogares
2000-12-31,309469.18215544225,2000,Consumo Hogares
2001-12-31,314266.7952976497,2001,Consumo Hogares
2002-12-31,320498.74638958933,2002,Consumo Hogares
2003-12-31,329983.8844442695,2003,Consumo Hogares
2004-12-31,342744.54620395537,2004,Consumo Hogares
2005-12-31,348741.0001919974,2005,Consumo Hogares
2006-12-31,366266.0,2006,Consumo Hogares
2007-12-31,389387.99999999977,2007,Consumo Hogares
2008-12-31,405167.0000000005,2008,Consumo Hogares
2009-12-31,412391.0,2009,Consumo Hogares
2010-12-31,432229.000000001,2010,Consumo Hogares
2011-12-31,455530.0,2011,Consumo Hogares
2012-12-31,480705.999999999,2012,Consumo Hogares
2013-12-31,502987.999999999,2013,Consumo Hogares
2014-12-31,524642.0,2014,Consumo Hogares
2015-12-31,543365.9999999991,2015,Consumo Hogares
2016-12-31,552659.0,2016,Consumo Hogares
2017-12-31,565536.000000001,2017,Consumo Hogares
2018-12-31,583050.0,2018,Consumo Hogares
2019-12-31,606642.0,2019,Consumo Hogares
2020-12-31,580188.0000000009,2020,Consumo Hogares
2021-12-31,661333.000000002,2021,Consumo Hogares
2022-12-31,734873.9999999991,2022,Consumo Hogares
2023-12-31,739468.0000000009,2023,Consumo Hogares
2024-12-31,752222.999999999,2024,Consumo Hogares
2025-12-31,779829.83567509,2025,Consumo Hogares
